model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean
own,TRAR_RHIRD_1_234_0,100,1.0,1.0,0.5415550056420402,7.309575704698554,0.3386901000000001,1.0,0.96,1.0,0.04081632653061224,0.0,1.0,1489.6459715702686,0.064447183468373,100,1.0,0.8989177671413714,0.94,,-7.622,-7.597,,0.0,0.0,-9.8335,-9.966550000000002,-9.433,-9.528999999999998
own,ABL2_HUMAN_274_551_0,100,1.0,1.0,0.5586036214338354,7.262975915855101,1.5132736,1.0,0.98,1.0,0.86,0.0,1.0,508.8751014262876,0.08982609038967829,100,0.23,0.28694708548771486,0.12,,-8.209,-8.216,,0.0,0.0,-8.466000000000001,-8.55147,-8.5335,-8.59627
own,NOS2_HUMAN_78_505_0,100,1.0,1.0,0.4978292799900366,6.622019403407992,0.13591110000000003,1.0,0.98,0.97,0.22,0.01,0.99,800.4912283905728,0.02132040878172527,100,0.98,0.9023293483647159,0.89,,-2.539,-2.606,,0.0,0.0,-4.1995000000000005,-4.1576900000000006,-4.428,-4.52262
own,COAA_MYCTU_1_312_0,100,1.0,1.0,0.49868943677099603,6.866039622250359,0.22114170000000002,0.98,0.0,0.99,0.45,0.0,1.0,740.6044795270008,0.09989447388113963,100,0.64,0.5174217637871753,0.35,,-7.296,-7.362,,0.0,0.0,-6.5225,-6.4866399999999995,-7.0285,-7.033240000000001
own,TBK1_HUMAN_1_303_0,100,1.0,1.0,0.5630665361544601,7.012804009446926,0.11983579999999991,1.0,0.83,0.99,0.35,0.0,1.0,817.0094265488666,0.06542879351545086,100,0.71,0.8103180448563538,0.65,,-7.946,-7.963,,0.0,0.0,-7.0425,-6.616409999999999,-7.1754999999999995,-6.708649999999999
own,BGL07_ORYSJ_25_504_0,100,1.0,1.0,0.22362475091144138,7.042113769060615,-0.38405710000000004,0.95,0.06,0.83,0.0707070707070707,0.03,0.99,1988.9820902026067,0.05491928327896023,100,1.0,0.8614401931999716,0.97,,-10.768,-10.77,,0.0,0.0,-8.002,-7.850639999999999,-8.106,-8.18703
own,PLCD1_RAT_134_756_0,100,1.0,1.0,0.6178907326590903,5.343586157776225,0.44094300000000003,1.0,0.0,0.71,0.88,0.0,1.0,401.8500463219082,0.1210174429838035,100,0.17,0.3041543000978443,0.14,,-5.501,-5.586,,0.0,0.0,-4.3004999999999995,-4.270339999999999,-5.6745,-5.600739999999999
own,BGAT_HUMAN_63_353_0,100,1.0,1.0,0.393770817726038,6.434792855738803,-1.3881191000000002,1.0,0.13,0.82,0.07,0.0,1.0,1167.133216261112,0.0754676839330554,100,1.0,0.821629137650401,0.84,,,,,0.0,0.0,,,,
own,NQO1_HUMAN_2_274_0__1gg5_A_rec,100,1.0,1.0,0.5420380294874022,7.160816591948722,0.38932900000000004,1.0,0.87,0.95,0.04081632653061224,0.02,0.99,1249.4997786116382,0.0675000112175467,100,0.99,0.8857380936001489,0.9696969696969697,,-5.798,-5.741,,0.0,0.0,-6.391,-6.34388,-6.436999999999999,-6.396790000000001
own,ROCO4_DICDI_1009_1292_0,100,1.0,1.0,0.38127153426615573,7.244979274804743,0.46570090000000003,1.0,0.0,0.96,0.09,0.0,1.0,1110.6577192596856,0.10991371382390992,100,0.92,0.6258126886438835,0.52,,,,,0.0,0.0,,,,
