model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean
own,PYRD_TRYCC_2_314_catalytic_0__2e6d_A_rec,100,1.0,1.0,0.5050204712074521,5.920522323674432,-0.5685023000000001,1.0,1.0,0.97,0.42,0.01,0.99,426.1278853938472,0.0975311133895961,100,0.55,0.7790610945233843,0.4,,-4.835,,,0.0,0.0,-5.1735,-5.11059
own,AROE_THET8_1_263_0,100,1.0,1.0,0.5007384290702709,5.914796423176348,-0.5625701000000001,1.0,0.97,0.94,0.3939393939393939,0.94,0.77,458.9281613282035,0.08369482250617781,100,0.55,0.7785576149573162,0.39,,-5.533,,,0.0,0.0,-4.484,-2.61649
own,GSTP1_HUMAN_2_210_0,100,1.0,1.0,0.6980457123767377,6.401353002965859,1.0817412999999998,1.0,0.68,0.35,0.77,0.0,1.0,259.8273566103063,0.10909514560407586,100,0.07,0.14124636663609913,0.07,,-7.102,,,0.0,0.0,-6.286,-6.256659999999999
own,CDK6_HUMAN_1_312_0__2f2c_B_rec,100,1.0,1.0,0.6563759740400762,6.325451086038791,0.46724589999999977,1.0,1.0,0.19,0.63,0.0,1.0,368.9933674184774,0.07494337769721066,100,0.49,0.6456872038011827,0.49,,-7.547,,,0.0,0.0,-7.977,-8.04328
own,DIDH_RAT_1_319_0,100,1.0,1.0,0.6185968619018255,7.283651957739108,0.7003819999999998,1.0,0.95,0.98,0.16494845360824742,0.01,0.99,950.2073863052447,0.05362088486503022,100,0.92,0.8739727747479846,0.89,,-8.816,,,0.0,0.0,-6.538,-6.308539999999999
own,NEP_HUMAN_54_750_0,100,1.0,1.0,0.43147824497653997,7.121232748336037,-0.6025839,1.0,0.44,1.0,0.06060606060606061,0.12,0.89,1555.567957676346,0.06081766303232014,100,0.96,0.8165825764337877,0.66,,-8.689,,,0.0,0.0,-7.04,-7.091480000000001
own,NOS1_HUMAN_302_723_0__3tym_A_rec,100,1.0,1.0,0.48737646966587833,7.037098576918932,0.7026600000000001,1.0,0.65,0.96,0.15,0.45,0.85,1291.842609364593,0.023930811006482217,100,0.95,0.8473151219680317,0.74,,-6.362,,,0.0,0.0,-4.292999999999999,-3.2080599999999997
own,XANLY_BACGL_26_777_0,100,1.0,1.0,0.46938187540360027,6.419033126581422,-0.9922921000000001,1.0,0.68,0.87,0.21212121212121213,1.09,0.49,785.5717291164502,0.070989700737811,100,0.99,0.8602010516385736,0.82,,-6.218,,,0.0,0.0,-3.512,-2.1461099999999997
own,CDK6_HUMAN_1_312_0__4aua_A_rec,100,1.0,1.0,0.5477864983106154,7.031433600270219,-0.06881899999999992,1.0,0.96,0.98,0.09090909090909091,0.04,0.99,1201.368782078277,0.05171057015965122,100,0.91,0.8960744426626,0.86,,0.736,,,0.0,0.0,-6.0445,-5.950889999999999
own,PA21B_PIG_23_146_0,100,1.0,1.0,0.5869897453647632,6.543682761227145,0.3241593,1.0,0.97,0.99,0.43434343434343436,0.0,1.0,719.6059182586969,0.059824433683609735,100,0.83,0.6129016194054462,0.58,,,,,0.0,0.0,,
